"donor_id","cohort","condition","gart_threshold","group","n_cells"
"SCP259_N10","SCP259","Healthy",1,"Other epithelial",6648
"SCP259_N10","SCP259","Healthy",1,"T/NK",3227
"SCP259_N10","SCP259","Healthy",1,"GART-undetected ISC-like",1
"SCP259_N10","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N10","SCP259","Healthy",2,"Myeloid",544
"SCP259_N10","SCP259","Healthy",2,"Fibroblast",1669
"SCP259_N10","SCP259","Healthy",2,"Endothelial",212
"SCP259_N10","SCP259","Healthy",2,"Other epithelial",6648
"SCP259_N10","SCP259","Healthy",2,"T/NK",3227
"SCP259_N10","SCP259","Healthy",2,"GART-undetected ISC-like",1
"SCP259_N10","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N106","SCP259","UC",1,"Myeloid",682
"SCP259_N106","SCP259","UC",1,"Fibroblast",488
"SCP259_N106","SCP259","UC",1,"Endothelial",75
"SCP259_N106","SCP259","UC",1,"Other epithelial",1398
"SCP259_N106","SCP259","UC",1,"T/NK",2198
"SCP259_N106","SCP259","UC",1,"GART-undetected ISC-like",292
"SCP259_N106","SCP259","UC",1,"GART-detected ISC-like",121
"SCP259_N106","SCP259","UC",2,"Myeloid",682
"SCP259_N106","SCP259","UC",2,"Fibroblast",488
"SCP259_N106","SCP259","UC",2,"Endothelial",75
"SCP259_N106","SCP259","UC",2,"Other epithelial",1398
"SCP259_N106","SCP259","UC",2,"T/NK",2198
"SCP259_N106","SCP259","UC",2,"GART-undetected ISC-like",292
"SCP259_N106","SCP259","UC",2,"GART-detected ISC-like",38
"SCP259_N11","SCP259","Healthy",1,"Myeloid",76
"SCP259_N11","SCP259","Healthy",1,"Fibroblast",252
"SCP259_N11","SCP259","Healthy",1,"Endothelial",79
"SCP259_N11","SCP259","Healthy",1,"Other epithelial",5188
"SCP259_N11","SCP259","Healthy",1,"T/NK",487
"SCP259_N11","SCP259","Healthy",1,"GART-undetected ISC-like",0
"SCP259_N11","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N11","SCP259","Healthy",2,"Myeloid",76
"SCP259_N11","SCP259","Healthy",2,"Fibroblast",252
"SCP259_N11","SCP259","Healthy",2,"Endothelial",79
"SCP259_N11","SCP259","Healthy",2,"Other epithelial",5188
"SCP259_N11","SCP259","Healthy",2,"T/NK",487
"SCP259_N11","SCP259","Healthy",2,"GART-undetected ISC-like",0
"SCP259_N11","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N110","SCP259","UC",1,"Myeloid",265
"SCP259_N110","SCP259","UC",1,"Fibroblast",509
"SCP259_N110","SCP259","UC",1,"Endothelial",59
"SCP259_N110","SCP259","UC",1,"Other epithelial",6918
"SCP259_N110","SCP259","UC",1,"T/NK",523
"SCP259_N110","SCP259","UC",1,"GART-undetected ISC-like",7
"SCP259_N110","SCP259","UC",1,"GART-detected ISC-like",0
"SCP259_N110","SCP259","UC",2,"Myeloid",265
"SCP259_N110","SCP259","UC",2,"Fibroblast",509
