"TF","n_paths","mean_score","max_score","mean_pred_label","tf_mean","tf_pct","core_targets_hit"
"AURKA",141,0.00867390242818666,0.0454271743009395,0.79241312858156,0.122726170905614,27.3170731707317,"IMPDH2, MCM7, PAICS, MCM6"
"UPF1",138,0.0175031056840735,0.115078566976641,0.918503195724638,0.142422112935055,34.6341463414634,"IMPDH2"
"CENPK",132,0.0130812464202219,0.0671572818987428,0.971823364393939,0.18563486383356,38.2439024390244,""
"AATF",121,0.0121996547596189,0.0571704152047809,0.796477000330579,0.204645572528409,45.6260162601626,""
"CHAF1B",119,0.00869623379037582,0.065921632693062,0.874753601092437,0.0703575280179914,18.7317073170732,"IMPDH2"
"ARRB1",119,0.0109446684752431,0.0595935108834007,0.822660854537815,0.14509398481475,35.1219512195122,"CDK4"
"SF1",112,0.0396149196284241,0.208363065981781,0.852445040892857,0.49276122231317,75.3821138211382,"MKI67"
"EPCAM",110,0.223389454473229,1.4055837987769,0.925977933454545,2.60536842465858,99.9024390243902,"IMPDH2"
"ILK",110,0.0313552852640143,0.142844774441884,0.890046500090909,0.295598573761819,56.8780487804878,""
"TOP2A",103,0.025584765262548,0.125752727762873,0.853940776116505,0.24725461147683,35.1219512195122,"FEN1, MCM6"
"HNF4A",100,0.0550125511266152,0.33117175164082,0.7776527076,0.306098652506135,52.0975609756098,""
"MELK",99,0.0160508255804912,0.106962801686992,0.911700122121212,0.105509833807864,25.3658536585366,"RAN"
"PTGDR",99,0.0126546927606795,0.0632060214984364,0.990189312929293,0.13603579803978,28.4552845528455,"TK1, TYMS, BRCA1"
"CDX2",85,0.114625699951591,0.639373537500866,0.785313606,0.654641414441462,80.4552845528455,""
"DDX21",85,0.0416468474753785,0.249371480532753,0.846042477882353,0.620575676500549,79.5447154471545,"MCM7, BRCA1"
"LMNA",81,0.141178849034359,1.39750938273687,0.84586741654321,1.45899825911275,97.6910569105691,""
"TAF9",77,0.105586023415826,0.669681541488945,0.985576545194805,0.76653364783801,87.9674796747967,"RAN, PCNA, CDK4"
"AURKB",77,0.0187012756477003,0.0943156338836006,0.927097850909091,0.172687925704082,29.8211382113821,"PAICS"
"CD74",70,0.125336967003816,0.378708105270903,0.897015415571429,2.25365168545094,98.2113821138211,"CDK4, PAICS, TK1"
"RBBP4",68,0.0367825370034763,0.178983161121187,0.776850754117647,0.444677931210699,70.6991869918699,"PCNA, BRCA1"
"PA2G4",66,0.132866299079364,0.561620412717558,0.950974580757576,1.09916944615745,92.9105691056911,"IMPDH2, CDK4, PAICS"
