donor_id,source,interaction_name,cohort,condition,pathway_name,ligand,receptor,detected_score,undetected_score,difference,gart_threshold,min_cells,expression_threshold,result_type,sender,paired_P,BH_FDR,positive_donor_n,paired_donor_n
SCP259_N58,Myeloid,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0446238917029467,0.0354565901303665,0.00916730157258028,1,20,0.1,interaction_family,Myeloid,0.001953125,0.0082750822368421,10,11
SCP259_N58,T/NK,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0557340426037157,0.0443903785485709,0.0113436640551448,1,20,0.1,interaction_family,T/NK,0.001953125,0.0082750822368421,10,11
SCP259_N661,Endothelial,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.112532933917028,0.102015510100931,0.0105174238160977,1,20,0.1,interaction_family,Endothelial,0.001953125,0.0082750822368421,10,11
SCP259_N661,Fibroblast,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.119420178856368,0.108337645524604,0.0110825333317635,1,20,0.1,interaction_family,Fibroblast,0.001953125,0.0082750822368421,10,11
SCP259_N661,Myeloid,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0511216828582829,0.0460460118172516,0.00507567104103131,1,20,0.1,interaction_family,Myeloid,0.001953125,0.0082750822368421,10,11
SCP259_N661,T/NK,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0920180051110754,0.0832380909153204,0.00877991419575498,1,20,0.1,interaction_family,T/NK,0.001953125,0.0082750822368421,10,11
SCP259_N9,Endothelial,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.145454954202029,0.136453915130111,0.00900103907191847,1,20,0.1,interaction_family,Endothelial,0.001953125,0.0082750822368421,10,11
SCP259_N9,Fibroblast,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.190767775208805,0.179217496642897,0.0115502785659083,1,20,0.1,interaction_family,Fibroblast,0.001953125,0.0082750822368421,10,11
SCP259_N9,Myeloid,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.100694290633495,0.0943299775043135,0.00636431312918114,1,20,0.1,interaction_family,Myeloid,0.001953125,0.0082750822368421,10,11
SCP259_N9,T/NK,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.11992399630722,0.112412456840453,0.00751153946676687,1,20,0.1,interaction_family,T/NK,0.001953125,0.0082750822368421,10,11
