method,source,omitted_donor,median_difference,positive_direction,n
GeometricMean,Myeloid,SCP259_N539,0.0974072813987731,TRUE,10
GeometricMean,Myeloid,SCP259_N58,0.0974072813987731,TRUE,10
GeometricMean,Myeloid,SCP259_N661,0.09907990694046,TRUE,10
GeometricMean,Myeloid,SCP259_N9,0.0974072813987731,TRUE,10
GeometricMean,Other epithelial,SCP259_N106,0.183618366718292,TRUE,10
GeometricMean,Other epithelial,SCP259_N111,0.165549755096436,TRUE,10
GeometricMean,Other epithelial,SCP259_N23,0.165549755096436,TRUE,10
GeometricMean,Other epithelial,SCP259_N24,0.165549755096436,TRUE,10
GeometricMean,Other epithelial,SCP259_N44,0.183618366718292,TRUE,10
GeometricMean,Other epithelial,SCP259_N49,0.183618366718292,TRUE,10
GeometricMean,Other epithelial,SCP259_N50,0.183618366718292,TRUE,10
GeometricMean,Other epithelial,SCP259_N539,0.165549755096436,TRUE,10
GeometricMean,Other epithelial,SCP259_N58,0.165549755096436,TRUE,10
GeometricMean,Other epithelial,SCP259_N661,0.166216671466827,TRUE,10
GeometricMean,Other epithelial,SCP259_N9,0.183618366718292,TRUE,10
GeometricMean,T/NK,SCP259_N106,0.131903409957886,TRUE,10
GeometricMean,T/NK,SCP259_N111,0.120292603969574,TRUE,10
GeometricMean,T/NK,SCP259_N23,0.120292603969574,TRUE,10
GeometricMean,T/NK,SCP259_N24,0.123096644878387,TRUE,10
GeometricMean,T/NK,SCP259_N44,0.131903409957886,TRUE,10
GeometricMean,T/NK,SCP259_N49,0.131903409957886,TRUE,10
GeometricMean,T/NK,SCP259_N50,0.131903409957886,TRUE,10
GeometricMean,T/NK,SCP259_N539,0.120292603969574,TRUE,10
GeometricMean,T/NK,SCP259_N58,0.120292603969574,TRUE,10
GeometricMean,T/NK,SCP259_N661,0.120292603969574,TRUE,10
GeometricMean,T/NK,SCP259_N9,0.131903409957886,TRUE,10
LIANA_consensus,Endothelial,SCP259_N106,0.207367209186526,TRUE,10
LIANA_consensus,Endothelial,SCP259_N111,0.187498904295835,TRUE,10
LIANA_consensus,Endothelial,SCP259_N23,0.187498904295835,TRUE,10
LIANA_consensus,Endothelial,SCP259_N24,0.187498904295835,TRUE,10
LIANA_consensus,Endothelial,SCP259_N44,0.207367209186526,TRUE,10
LIANA_consensus,Endothelial,SCP259_N49,0.207367209186526,TRUE,10
LIANA_consensus,Endothelial,SCP259_N50,0.207367209186526,TRUE,10
LIANA_consensus,Endothelial,SCP259_N539,0.187498904295835,TRUE,10
LIANA_consensus,Endothelial,SCP259_N58,0.187498904295835,TRUE,10
LIANA_consensus,Endothelial,SCP259_N661,0.207367209186526,TRUE,10
LIANA_consensus,Endothelial,SCP259_N9,0.201393121943604,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N106,0.212096317330475,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N111,0.170039999907123,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N23,0.170039999907123,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N24,0.170039999907123,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N44,0.212096317330475,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N49,0.212096317330475,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N50,0.212096317330475,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N539,0.170039999907123,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N58,0.170039999907123,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N661,0.206368206163415,TRUE,10
LIANA_consensus,Fibroblast,SCP259_N9,0.212096317330475,TRUE,10
LIANA_consensus,Myeloid,SCP259_N106,0.179621475037666,TRUE,10
LIANA_consensus,Myeloid,SCP259_N111,0.146799825560122,TRUE,10
LIANA_consensus,Myeloid,SCP259_N23,0.146799825560122,TRUE,10
LIANA_consensus,Myeloid,SCP259_N24,0.179621475037666,TRUE,10
LIANA_consensus,Myeloid,SCP259_N44,0.146799825560122,TRUE,10
LIANA_consensus,Myeloid,SCP259_N49,0.179621475037666,TRUE,10
LIANA_consensus,Myeloid,SCP259_N50,0.179621475037666,TRUE,10
LIANA_consensus,Myeloid,SCP259_N539,0.146799825560122,TRUE,10
LIANA_consensus,Myeloid,SCP259_N58,0.146799825560122,TRUE,10
LIANA_consensus,Myeloid,SCP259_N661,0.164490634953445,TRUE,10
LIANA_consensus,Myeloid,SCP259_N9,0.179621475037666,TRUE,10
