gart_threshold,min_cells,expression_threshold,source,interaction_name,result_type,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,lodo_positive_fraction,lodo_n
1,10,0.1,Myeloid,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.00436652268509386,0.00515976087035674,0.00246511133581662,0.00915882141872616,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.1,Myeloid,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00356490299988695,,,,,1,4,not estimable: <6 paired donors,"",,1,4
1,10,0.1,Myeloid,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.00637891012424338,0.00644107806028212,0.00388629241430744,0.00981773945786331,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.1,Other epithelial,,pathway,BMP,,,0.00064109786585485,,,,,1,1,not estimable: <6 paired donors,"",,,
1,10,0.1,Other epithelial,,pathway,MIF,,,0.0132354064732892,0.0141101009125337,0.00732916460562047,0.0195082752842805,0.0341796875,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.0503200954861111,,
1,10,0.1,Other epithelial,,pathway,MK,,,0.0180690538693614,0.0185956029496831,0.0130541586745438,0.0273016874835069,0.00048828125,1,12,exact Wilcoxon signed-rank,"",0.00369698660714286,,
1,10,0.1,Other epithelial,,pathway,TRAIL,,,8.81940901343952e-05,,,,,0.75,4,not estimable: <6 paired donors,"",,,
1,10,0.1,Other epithelial,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0117280402576445,0.0124817233654669,0.00551834943644029,0.0185894311953459,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.1,Other epithelial,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00702911020101874,,,,,1,4,not estimable: <6 paired donors,"",,1,4
1,10,0.1,Other epithelial,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0132354064732892,0.0141101009125337,0.0092791218727106,0.0195082752842805,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.1,T/NK,,pathway,MIF,,,0.007549399411545,0.0076006550173723,0.00406430069697189,0.0100617891254499,0.0341796875,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.0503200954861111,,
1,10,0.1,T/NK,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.00670210797916462,0.00637546921774675,0.00315643434355235,0.0100496551623896,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.1,T/NK,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00358532652495831,,,,,1,4,not estimable: <6 paired donors,"",,1,4
1,10,0.1,T/NK,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.007549399411545,0.00764775237651348,0.00485549081184312,0.0100617891254499,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.2,Endothelial,,pathway,MIF,,,0.0105174238160977,0.0102725336644614,0.00541213920649657,0.0241801661341219,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00534539473684211,,
1,10,0.2,Endothelial,,pathway,MK,,,0.0150670520701801,0.019277573333114,0.0112121841296696,0.0279231665390007,0.00390625,1,9,exact Wilcoxon signed-rank,"",0.00725446428571429,,
1,10,0.2,Endothelial,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0090012487905426,0.00805712912574505,0.00416787336178355,0.0130682207777393,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00656960227272727,1,11
1,10,0.2,Endothelial,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00422337746923065,,,,,1,2,not estimable: <6 paired donors,"",,1,2
1,10,0.2,Endothelial,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0090012487905426,0.00897437432525458,0.00507504760975035,0.013239379755851,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00656960227272727,1,11
1,10,0.2,Fibroblast,,pathway,BMP,,,0.000239831616653217,,,,,1,1,not estimable: <6 paired donors,"",,,
1,10,0.2,Fibroblast,,pathway,MIF,,,0.0110825333317635,0.0108725455796473,0.00657958461234127,0.0198336477446455,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00534539473684211,,
1,10,0.2,Fibroblast,,pathway,MK,,,0.0228661249391149,0.0253582995524314,0.0184757261779611,0.0339259332469753,0.0009765625,1,11,exact Wilcoxon signed-rank,"",0.00362723214285715,,
1,10,0.2,Fibroblast,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.00842926342920694,0.00833340121614584,0.00397497701504417,0.0129158784228623,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00656960227272727,1,11
1,10,0.2,Fibroblast,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00446062449877052,,,,,1,2,not estimable: <6 paired donors,"",,1,2
1,10,0.2,Fibroblast,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.00930908201137308,0.00947174037232328,0.00534366388471528,0.0129158784228623,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,"",0.00656960227272727,1,11
1,10,0.2,Myeloid,,pathway,MIF,,,0.00503239127828541,0.00866497561079565,0.00159667718803699,0.0227006481244364,0.03125,0.857142857142857,7,exact Wilcoxon signed-rank,"",0.0396341463414634,,
1,10,0.2,Myeloid,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.00354352565469882,0.003628912160542,0.000723372752993834,0.013241971796421,0.03125,0.857142857142857,7,exact Wilcoxon signed-rank,"",0.0513888888888889,1,7
