"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection"
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION",0.0369495445123219,0.0779754545611215,0.321775918075361,-0.564004019275273,-1.54355914426309,18,"BHLHE41|BHLHE40|HELZ2|CHD9|TBL1X|NPAS2|CLOCK|NCOA2|PPARA|NCOA1|CREBBP|RXRA|NCOA6|TBL1XR1|CARM1","Reactome"
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM",0.524154589371981,0.631384061221969,0.086794975677172,0.31319073083779,0.939250851631289,19,"ECHS1|HSD17B10|MCCC2|IVD|BCAT2|ACADSB|ACAT1|MCCC1|DLD|BCKDHB|ACAD8|BCKDK|SLC25A44|HIBCH|HIBADH|AUH|DBT|PPM1K|ALDH6A1","Reactome"
"REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION",0.109500805152979,0.175005751092708,0.169570644405628,-0.439601911058386,-1.32683078359876,27,"CHMP5|CHMP2B|PDCD6IP|VPS37B|UBC|VPS37A|CHMP3|CHMP2A|CHMP4B|CHMP4C|VPS4B|VPS4A|VPS28|VTA1|UBAP1|CHMP7","Reactome"
"REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA",0.0200562088110881,0.0494498812284404,0.352487857583619,0.570263518923376,1.65672098935628,17,"EXOSC9|EXOSC8|EXOSC2|EXOSC3|EXOSC5|EXOSC7|EXOSC4|EXOSC1|DCP2","Reactome"
"REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION",0.078740157480315,0.137641486220472,0.261663521711573,0.427344278156518,1.42790776178727,27,"KAT2A|POLR1B|MYBBP1A|POLR1A|TAF1B|POLR2E|BAZ1B|POLR1C|DEK","Reactome"
"REACTOME_CA2_PATHWAY",0.0190300662626621,0.0477084294260015,0.352487857583619,-0.500450465192271,-1.56673778439199,33,"PRKG1|GNG12|GNB5|CTNNB1|FZD5|PPP3R1|AGO4|KRAS|TCF7L2|PPP3CA|ITPR2|TNRC6B|AXIN2|GNG5|MOV10|MAP3K7","Reactome"
"REACTOME_CALNEXIN_CALRETICULIN_CYCLE",0.752039151712887,0.830927685500834,0.0493910105981501,-0.275237077073094,-0.815216051056445,25,"RNF103|RNF139|RNF185|UBC|TRIM13|AMFR","Reactome"
"REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN",0.833898305084746,0.89381914137826,0.0464154956843849,-0.265382299980611,-0.726294958654741,18,"TUBB2A|NICN1|TTLL6","Reactome"
"REACTOME_CARDIAC_CONDUCTION",0.00813415485023361,0.0255441003191547,0.380730400722792,-0.51556494021166,-1.65507795978039,36,"KCNK5|ATP1B1|ATP2B4|FXYD3|KCNK6|FKBP1B|KCND3|KAT2B|ATP2B1|SCN9A|ATP1B3|ITPR2|KCNK1|CAMK2D|HIPK2|SRI|AKAP9|CAMK2G|KCNJ2","Reactome"
"REACTOME_CARGO_CONCENTRATION_IN_THE_ER",0.181518151815182,0.265889927781649,0.130105630751129,-0.417990679267483,-1.23037981407845,24,"TGFA|CD59|SEC23A","Reactome"
"REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS",0.00062081277133774,0.00408549581137704,0.477270815362862,-0.484004977064218,-1.75780924524888,73,"TGFA|EREG|HBEGF|DAB2|ITSN2|ITSN1|PICALM|AAK1|SH3KBP1|LDLR|VAMP8|IGF2R|NECAP1|EGFR|STAM2|CLTB|EPN2|BTC|UBC|SCARB2|VAMP2|CD3D|NECAP2|EPN1|EPS15|LDLRAP1|GRB2|FCHO2|CFTR|VAMP3|TGOLN2|AGFG1|STON2","Reactome"
"REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE",0.15041782729805,0.227322882185164,0.191892240384838,0.347567949910611,1.23717728101197,37,"ARL13B|RAB11FIP3|ARL3|CCT8|CCT2|CCT5|CCT4|UNC119B|PKD2|CCT3|EXOC2|BBS7|TCP1|GBF1","Reactome"
"REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY",0.0345183533239519,0.0744288486015407,0.321775918075361,-0.55561003291511,-1.5450872161048,19,"UNC5B|CASP8|TNFSF10|DAPK2|TICAM1|CFLAR|CD14|RIPK1","Reactome"
"REACTOME_CA_DEPENDENT_EVENTS",0.585427135678392,0.686010471204189,0.0828962134571565,0.29723537306892,0.910969458736815,21,"ADCY3|KPNA2|CAMKK1|PRKAR1B","Reactome"
"REACTOME_CD209_DC_SIGN_SIGNALING",0.0527534681697535,0.0991898193527929,0.321775918075361,-0.543888401042041,-1.48850697192874,18,"RPS6KA5|RELB|ICAM2|KRAS|NRAS|PRKACB|EP300|PAK2|LYN|CREBBP","Reactome"
"REACTOME_CD22_MEDIATED_BCR_REGULATION",4.75247526032839e-05,0.000494588995115571,0.557332238758646,-0.775744297569244,-2.05848419452825,16,"CD79A|IGLC2|IGLV6-57|IGKV1-5|IGHV3-7|IGKV4-1|IGLC3|IGLV2-14|IGKV3-11|IGKV3-20|IGLV3-21|IGLV3-1","Reactome"
"REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING",0.591525423728814,0.6884463644178,0.0623861492893626,-0.33416594881864,-0.914541188311311,18,"PIK3R3|MAP3K8|PIK3CA|PIK3CB|RICTOR","Reactome"
"REACTOME_CDC42_GTPASE_CYCLE",0.0386666666666667,0.0801681198286004,0.266350657088526,-0.342762179531351,-1.34867967322875,108,"STOM|CPNE8|CDC42EP2|CDC42BPA|FNBP1|ITSN1|GNA13|GMIP|ARHGAP21|WASL|ARHGAP42|VAV3|ARFGAP3|FGD4|ARHGEF12|SH3PXD2A|CDC42BPB|SNAP23|CDC42SE2|ARHGAP27|WIPF2|ARHGEF5|PLD1|CDC42|SRGAP1|IQGAP2|BAIAP2|MAP3K11|DAAM1|ARHGAP17|MCF2L|JUP|ARAP2|PAK2|ARHGAP5|CDC42EP4|ARHGAP24|KTN1|VAMP3|ARHGAP26|DNMBP|ARHGAP44|IQGAP1|NGEF|ARAP1|PAK4","Reactome"
