"donor_id","cohort","mean_score.negative","mean_score.positive","delta","module"
"GSE214695_HC6","GSE214695",NA,0.281227928453958,NA,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_HC2","GSE214695",0.220423963747042,NA,NA,"MSigDB_LEI_MYB_targets"
"GSE214695_HC3","GSE214695",0.199490311685108,0.259258808198428,0.0597684965133199,"MSigDB_LEI_MYB_targets"
"GSE214695_HC5","GSE214695",0.240187418813492,NA,NA,"MSigDB_LEI_MYB_targets"
"GSE214695_UC1","GSE214695",0.239703554918981,NA,NA,"MSigDB_LEI_MYB_targets"
"GSE214695_UC2","GSE214695",0.342283540314997,0.31835998784125,-0.0239235524737466,"MSigDB_LEI_MYB_targets"
"GSE214695_UC3","GSE214695",0.35102880616303,0.325195217020012,-0.0258335891430177,"MSigDB_LEI_MYB_targets"
"GSE214695_UC4","GSE214695",0.36057824623923,0.404597040275001,0.0440187940357702,"MSigDB_LEI_MYB_targets"
"GSE214695_UC5","GSE214695",0.254211561603167,0.371648479081684,0.117436917478516,"MSigDB_LEI_MYB_targets"
"GSE214695_UC6","GSE214695",0.350906508475998,0.360220115854864,0.00931360737886594,"MSigDB_LEI_MYB_targets"
"SCP259_N10","SCP259",0.216788819614323,NA,NA,"MSigDB_LEI_MYB_targets"
"SCP259_N106","SCP259",0.250309613245684,0.268897125329166,0.018587512083482,"MSigDB_LEI_MYB_targets"
"SCP259_N110","SCP259",0.20571233986218,NA,NA,"MSigDB_LEI_MYB_targets"
"SCP259_N111","SCP259",0.280740215874795,0.29048753291428,0.00974731703948428,"MSigDB_LEI_MYB_targets"
"SCP259_N12","SCP259",0.325467419763749,NA,NA,"MSigDB_LEI_MYB_targets"
"SCP259_N14","SCP259",0.314423245056906,0.276275831110848,-0.0381474139460574,"MSigDB_LEI_MYB_targets"
"SCP259_N15","SCP259",0.226133397831961,NA,NA,"MSigDB_LEI_MYB_targets"
"SCP259_N19","SCP259",0.233440885294563,0.290361294909857,0.0569204096152942,"MSigDB_LEI_MYB_targets"
"SCP259_N21","SCP259",0.234986512605939,NA,NA,"MSigDB_LEI_MYB_targets"
"SCP259_N23","SCP259",0.303589563748731,0.303589864040453,3.00291722488133e-07,"MSigDB_LEI_MYB_targets"
"SCP259_N24","SCP259",0.28310259506466,0.291934132232226,0.0088315371675653,"MSigDB_LEI_MYB_targets"
"SCP259_N26","SCP259",0.232447201742151,0.191965878735571,-0.0404813230065797,"MSigDB_LEI_MYB_targets"
"SCP259_N44","SCP259",0.282424144809418,0.274442399330029,-0.0079817454793889,"MSigDB_LEI_MYB_targets"
"SCP259_N49","SCP259",0.28762430302903,0.30328709282648,0.0156627897974501,"MSigDB_LEI_MYB_targets"
"SCP259_N50","SCP259",0.254173232524629,0.277298251613219,0.0231250190885906,"MSigDB_LEI_MYB_targets"
"SCP259_N51","SCP259",0.225192328205467,0.200953142893103,-0.0242391853123638,"MSigDB_LEI_MYB_targets"
"SCP259_N52","SCP259",0.207549204308528,0.220821131766728,0.0132719274582002,"MSigDB_LEI_MYB_targets"
"SCP259_N539","SCP259",0.222093952869943,0.240915533426972,0.0188215805570287,"MSigDB_LEI_MYB_targets"
"SCP259_N58","SCP259",0.272354583018249,0.278830096999737,0.00647551398148782,"MSigDB_LEI_MYB_targets"
"SCP259_N661","SCP259",0.260433266808414,0.27300256662879,0.0125692998203759,"MSigDB_LEI_MYB_targets"
"SCP259_N7","SCP259",0.287492056693736,0.302841241956936,0.0153491852631997,"MSigDB_LEI_MYB_targets"
"SCP259_N9","SCP259",0.312626783153527,0.314868585761991,0.00224180260846396,"MSigDB_LEI_MYB_targets"
"GSE214695_HC4","GSE214695",NA,0.304719402705832,NA,"MSigDB_LEI_MYB_targets"
"GSE214695_HC6","GSE214695",NA,0.32538935868977,NA,"MSigDB_LEI_MYB_targets"
"GSE214695_HC2","GSE214695",0.122786987159223,NA,NA,"Reactome_MHCII_antigen_presentation"
