signature,rank,gene,log2FC,P,FDR,matched_singlecell,projection_weight
SC_GART_NEAREST_CENTROID_PROGRAM,519,SLC25A22,0.246855334994323,0.0102478186807755,0.0456501126251431,True,0.030449887968329925
SC_GART_NEAREST_CENTROID_PROGRAM,520,MRPL23,0.104420912091433,0.0115740819138105,0.0495635719418234,True,0.036626306958862265
SC_GART_NEAREST_CENTROID_PROGRAM,521,CD81,0.282652972524134,2.89478399502418e-05,0.000838517456703,True,0.07633281100506428
SC_GART_NEAREST_CENTROID_PROGRAM,522,RRM1,0.539753103490682,5.36062997346844e-08,1.62832757491383e-05,True,0.09091452244402587
SC_GART_NEAREST_CENTROID_PROGRAM,523,TIMM10B,0.242677184677989,0.0050828475721155,0.0282522867769569,True,0.05726707598949954
SC_GART_NEAREST_CENTROID_PROGRAM,524,MRPL17,0.379722982003545,6.85721596013923e-08,1.83495833752392e-05,True,0.09790449447749972
SC_GART_NEAREST_CENTROID_PROGRAM,525,CYB5R2,0.394973345213775,0.004277445744337,0.0250778365783017,True,0.019607801264959757
SC_GART_NEAREST_CENTROID_PROGRAM,526,AKIP1,0.219551787024104,0.0101018545672701,0.0451789667654393,True,0.03886301066301079
SC_GART_NEAREST_CENTROID_PROGRAM,527,SBF2-AS1,0.586885449749753,0.0010498013430967,0.0094388467598192,True,0.014977663957064569
SC_GART_NEAREST_CENTROID_PROGRAM,528,NUCB2,0.240584554155545,0.0001294511825797,0.0022697376614885,True,0.07938699843392727
SC_GART_NEAREST_CENTROID_PROGRAM,529,SAAL1,0.307775445016457,0.000559530872766,0.006226304434671,True,0.045860372894360624
SC_GART_NEAREST_CENTROID_PROGRAM,530,E2F8,0.464090811055247,0.0003075969025697,0.0040568598926904,True,0.0275936911448853
SC_GART_NEAREST_CENTROID_PROGRAM,531,NAV2,0.25925201131481,0.0105840528340874,0.0466304076057657,True,0.028190094292136925
SC_GART_NEAREST_CENTROID_PROGRAM,532,CCDC34,0.328229674907758,2.11289375538065e-05,0.000692326907193,True,0.09602768608461676
