panel,mouse_id,group,endpoint,value,unit,included_in_analysis,missing_reason,source_record,animal_identity_note
I,DSS_CBC_06,Model,Granulocyte percentage (Gran%),47.8,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,CTRL_CBC_01,Control,Platelet count (PLT),852.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,CTRL_CBC_02,Control,Platelet count (PLT),902.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,CTRL_CBC_03,Control,Platelet count (PLT),931.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,CTRL_CBC_04,Control,Platelet count (PLT),1013.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,CTRL_CBC_05,Control,Platelet count (PLT),1042.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,CTRL_CBC_06,Control,Platelet count (PLT),1092.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,DSS_CBC_01,Model,Platelet count (PLT),1771.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,DSS_CBC_02,Model,Platelet count (PLT),1841.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,DSS_CBC_03,Model,Platelet count (PLT),1899.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,DSS_CBC_04,Model,Platelet count (PLT),1923.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,DSS_CBC_05,Model,Platelet count (PLT),1981.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
H,DSS_CBC_06,Model,Platelet count (PLT),2051.0,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
