"marker_group","gene","epithelial_state","n_cells","average_expression","percent_expressed","avg_exp_scaled"
"Stem / ISC","OLFM4","BEST4+ epithelial cells",2838,0.466979312252367,26.215644820296,-0.559895147149291
"Stem / ISC","OLFM4","Rare epithelial cells",1821,0.233217557426438,10.3789126853377,-0.814853028238877
"Stem / ISC","OLFM4","Low-confidence / other epithelial",7025,2.02395367443439,58.0498220640569,1.13825639431367
"TA / proliferating","MKI67","Absorptive epithelial cells",65675,0.0453466944513594,2.54586981347545,-0.624027588195386
"TA / proliferating","MKI67","Goblet cells",36188,0.0712794028459443,7.88935558748756,-0.528272711844342
"TA / proliferating","MKI67","Regenerative epithelial cells",9570,0.270765316966374,29.3312434691745,0.208316338158845
"TA / proliferating","MKI67","Stem/ISC-like epithelial cells",9306,0.208248803935493,28.0356759080163,-0.0225219099749515
"TA / proliferating","MKI67","TA / proliferating cells",696,0.831293976111937,73.9942528735632,2.27803276079475
"TA / proliferating","MKI67","BEST4+ epithelial cells",2838,0.0138729199700464,1.51515151515152,-0.740242498643695
"TA / proliferating","MKI67","Rare epithelial cells",1821,0.0178517409258099,1.64744645799012,-0.725550955329167
"TA / proliferating","MKI67","Low-confidence / other epithelial",7025,0.256127346988712,16.5836298932384,0.154266565033949
"TA / proliferating","TOP2A","Absorptive epithelial cells",65675,0.0443021680994884,2.4057860677579,-0.724355145447151
"TA / proliferating","TOP2A","Goblet cells",36188,0.0567120381538494,6.15673703990273,-0.657378229982213
"TA / proliferating","TOP2A","Regenerative epithelial cells",9570,0.290383623109987,29.3521421107628,0.603763258494981
"TA / proliferating","TOP2A","Stem/ISC-like epithelial cells",9306,0.197366345237587,24.6077799269289,0.101742662828137
"TA / proliferating","TOP2A","TA / proliferating cells",696,0.526385095554379,52.2988505747126,1.87747930872504
"TA / proliferating","TOP2A","BEST4+ epithelial cells",2838,0.00814691919814389,0.669485553206483,-0.919487490803837
"TA / proliferating","TOP2A","Rare epithelial cells",1821,0.00545044007855717,0.658978583196046,-0.93404057260521
"TA / proliferating","TOP2A","Low-confidence / other epithelial",7025,0.2993723829676,17.5373665480427,0.65227620879025
"TA / proliferating","PCNA","Absorptive epithelial cells",65675,0.163904478659588,9.97792158355539,-0.839968967525039
"TA / proliferating","PCNA","Goblet cells",36188,0.23860407404293,24.0024317453299,-0.425796987095743
"TA / proliferating","PCNA","Regenerative epithelial cells",9570,0.440230662647618,53.0198537095089,0.692121832692524
"TA / proliferating","PCNA","Stem/ISC-like epithelial cells",9306,0.537025171042526,57.0062325381474,1.22879908015108
"TA / proliferating","PCNA","TA / proliferating cells",696,0.522642015916363,50.7183908045977,1.14905166233905
"TA / proliferating","PCNA","BEST4+ epithelial cells",2838,0.132010878850631,16.2438336856941,-1.01680306318657
"TA / proliferating","PCNA","Rare epithelial cells",1821,0.0902962038391179,6.42504118616145,-1.24809012001493
"TA / proliferating","PCNA","Low-confidence / other epithelial",7025,0.398489256064617,21.4092526690391,0.46068656263963
"TA / proliferating","UBE2C","Absorptive epithelial cells",65675,0.117385357165652,5.42215454891511,-0.618142048944504
"TA / proliferating","UBE2C","Goblet cells",36188,0.153031264394189,11.8823919531336,-0.490235456088005
"TA / proliferating","UBE2C","Regenerative epithelial cells",9570,0.335861474444013,30.0522466039707,0.165805897798175
"TA / proliferating","UBE2C","Stem/ISC-like epithelial cells",9306,0.306826799228776,30.4964539007092,0.0616220890465538
"TA / proliferating","UBE2C","TA / proliferating cells",696,0.816523083650029,66.8103448275862,1.89054215871858
"TA / proliferating","UBE2C","BEST4+ epithelial cells",2838,0.0121054856311557,1.65609584214235,-0.995913038977453
"TA / proliferating","UBE2C","Rare epithelial cells",1821,0.0248201695847888,1.81219110378913,-0.950289514982686
"TA / proliferating","UBE2C","Low-confidence / other epithelial",7025,0.550674548727046,25.5373665480427,0.936609913429342
"Absorptive epithelial","FABP1","Absorptive epithelial cells",65675,3.54888576579177,81.5287400076132,1.41031761220221
"Absorptive epithelial","FABP1","Goblet cells",36188,1.86642707880994,66.7596993478501,0.142249628232296
"Absorptive epithelial","FABP1","Regenerative epithelial cells",9570,1.92019775798112,79.6760710553814,0.182776553060157
"Absorptive epithelial","FABP1","Stem/ISC-like epithelial cells",9306,1.19003289619852,59.1876208897486,-0.367548213551085
"Absorptive epithelial","FABP1","TA / proliferating cells",696,0.0386484910763923,5.02873563218391,-1.23534586746957
"Absorptive epithelial","FABP1","BEST4+ epithelial cells",2838,3.5801777214186,93.0584918957012,1.43390233817095
"Absorptive epithelial","FABP1","Rare epithelial cells",1821,0.747126539804643,30.7523338824822,-0.701366437312265
"Absorptive epithelial","FABP1","Low-confidence / other epithelial",7025,0.530038412407446,19.3594306049822,-0.864985613332686
"Absorptive epithelial","CA1","Absorptive epithelial cells",65675,1.32351178966495,45.3201370384469,1.83934974378421
"Absorptive epithelial","CA1","Goblet cells",36188,0.380636116835455,23.5989830883166,-0.163784777518335
"Absorptive epithelial","CA1","Regenerative epithelial cells",9570,0.73968385858015,49.6760710553814,0.599010304601235
"Absorptive epithelial","CA1","Stem/ISC-like epithelial cells",9306,0.167689736046793,12.8196862239415,-0.616188269130471
"Absorptive epithelial","CA1","TA / proliferating cells",696,0.00209677496291811,0.431034482758621,-0.967989663938333
"Absorptive epithelial","CA1","BEST4+ epithelial cells",2838,0.854752850851312,41.4023960535588,0.843473787319113
"Absorptive epithelial","CA1","Rare epithelial cells",1821,0.151050827549746,7.57825370675453,-0.65153754472182
"Absorptive epithelial","CA1","Low-confidence / other epithelial",7025,0.0424151043329186,1.85053380782918,-0.8823335803956
"Absorptive epithelial","KRT20","Absorptive epithelial cells",65675,1.04325384828109,41.2775028549676,0.746009369849543
"Absorptive epithelial","KRT20","Goblet cells",36188,0.540137928280393,31.4689952470432,-0.0518004483270574
"Absorptive epithelial","KRT20","Regenerative epithelial cells",9570,0.246253838997013,27.3876698014629,-0.517823490960741
"Absorptive epithelial","KRT20","Stem/ISC-like epithelial cells",9306,0.664949355454208,46.2604771115409,0.146117721345979
"Absorptive epithelial","KRT20","TA / proliferating cells",696,0.00767480090618554,1.29310344827586,-0.89614723591345
"Absorptive epithelial","KRT20","BEST4+ epithelial cells",2838,1.87165269341145,75.8280479210712,2.05963254442579
"Absorptive epithelial","KRT20","Rare epithelial cells",1821,0.12443741849822,6.42504118616145,-0.710992366016278
"Absorptive epithelial","KRT20","Low-confidence / other epithelial",7025,0.0840752996604882,4.17081850533808,-0.774996094403781
"Absorptive epithelial","AQP8","Absorptive epithelial cells",65675,1.08608930726492,32.9805862200228,2.19511226796232
"Absorptive epithelial","AQP8","Goblet cells",36188,0.13270245431144,12.8164032275893,-0.302925548022534
"Absorptive epithelial","AQP8","Regenerative epithelial cells",9570,0.131701024715028,21.0449320794148,-0.305549466103778
"Absorptive epithelial","AQP8","Stem/ISC-like epithelial cells",9306,0.00565287278331635,0.687728347302815,-0.635817341295238
"Absorptive epithelial","AQP8","TA / proliferating cells",696,0.00149697295837037,0.28735632183908,-0.64670651486628
"Absorptive epithelial","AQP8","BEST4+ epithelial cells",2838,0.539870930138406,26.7794221282593,0.763926010651415
"Absorptive epithelial","AQP8","Rare epithelial cells",1821,0.0826007803183621,3.95387149917628,-0.434200566018782
"Absorptive epithelial","AQP8","Low-confidence / other epithelial",7025,0.00640797541298169,0.341637010676157,-0.63383884230712
"Absorptive epithelial","CA2","Absorptive epithelial cells",65675,1.77734341975347,62.3113818043395,1.34981207006922
"Absorptive epithelial","CA2","Goblet cells",36188,0.914339617769939,51.337459931469,0.0884740161966428
"Absorptive epithelial","CA2","Regenerative epithelial cells",9570,1.24862795825734,75.1828631138976,0.577058891319506
"Absorptive epithelial","CA2","Stem/ISC-like epithelial cells",9306,0.913173831079239,71.4807650977864,0.0867701406027012
"Absorptive epithelial","CA2","TA / proliferating cells",696,0.0125379330375575,2.44252873563218,-1.22956975068478
"Absorptive epithelial","CA2","BEST4+ epithelial cells",2838,1.63265107642576,69.8731501057082,1.13833448639722
"Absorptive epithelial","CA2","Rare epithelial cells",1821,0.172513986729481,9.61010433827567,-0.995753997189594
"Absorptive epithelial","CA2","Low-confidence / other epithelial",7025,0.159259817185427,8.39857651245552,-1.01512585671092
"Goblet / secretory","MUC2","Absorptive epithelial cells",65675,0.168900887163263,9.5942139322421,-0.594724775550587
"Goblet / secretory","MUC2","Goblet cells",36188,1.47393154647528,56.1898972034929,1.89464498331358
"Goblet / secretory","MUC2","Regenerative epithelial cells",9570,0.491660491921518,41.9122257053292,0.0209450508515908
"Goblet / secretory","MUC2","Stem/ISC-like epithelial cells",9306,1.10425776160242,62.1641951429185,1.18948550361792
"Goblet / secretory","MUC2","TA / proliferating cells",696,0.0679857193438189,7.61494252873563,-0.787222296729793
"Goblet / secretory","MUC2","BEST4+ epithelial cells",2838,0.156860023527708,14.4820295983087,-0.61769294230673
"Goblet / secretory","MUC2","Rare epithelial cells",1821,0.127740188747007,6.97419000549149,-0.673239557682353
"Goblet / secretory","MUC2","Low-confidence / other epithelial",7025,0.254105216236707,11.2455516014235,-0.43219596551362
"Goblet / secretory","TFF3","Absorptive epithelial cells",65675,1.24576941841908,52.0106585458698,-0.640916099905247
"Goblet / secretory","TFF3","Goblet cells",36188,3.52718560314077,88.463026417597,1.74779592741227
