endpoint,family,panel,group,mouse_id,value,source_replicate_position,mouse_id_status
CD74+ objects per mm²,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_02,2051.92,2,source-position ID; actual mouse and selection mapping absent
CD74+ objects per mm²,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_03,1595.47,3,source-position ID; actual mouse and selection mapping absent
CD74+ objects within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_01,15.38,1,source-position ID; actual mouse and selection mapping absent
CD74+ objects within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_02,9.31,2,source-position ID; actual mouse and selection mapping absent
CD74+ objects within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_03,11.6,3,source-position ID; actual mouse and selection mapping absent
CD74+ objects within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_01,69.34,1,source-position ID; actual mouse and selection mapping absent
CD74+ objects within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_02,88.76,2,source-position ID; actual mouse and selection mapping absent
CD74+ objects within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_03,52.71,3,source-position ID; actual mouse and selection mapping absent
MIF-high area within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_01,17.9,1,source-position ID; actual mouse and selection mapping absent
MIF-high area within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_02,32.54,2,source-position ID; actual mouse and selection mapping absent
MIF-high area within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_03,25.71,3,source-position ID; actual mouse and selection mapping absent
MIF-high area within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_01,85.02,1,source-position ID; actual mouse and selection mapping absent
MIF-high area within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_02,53.75,2,source-position ID; actual mouse and selection mapping absent
MIF-high area within 50 μm of GART+ regions (%),multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_03,70.94,3,source-position ID; actual mouse and selection mapping absent
GART MFI,multiplex_IF::GART(黄）+MYBL2(紫）+KI67（绿）,GART(黄）+MYBL2(紫）+KI67（绿）,Control,IF_GART_MYBL2_KI67__Control_rep_01,0.24,1,source-position ID; actual mouse and selection mapping absent
